paths    spawn_tags    blacklisted    spawn_value    spawn_price    prob_accompanying_obj    all_accompanying_obj
/obj/item/weapon/gun/projectile/automatic/lmg/pk    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.27124   spawn_price=5660   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/weapon/gun/projectile/automatic/lmg    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.27124   spawn_price=5660   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/weapon/gun/projectile/automatic/ak47/fs    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=4.393   spawn_price=3660   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/weapon/gun/projectile/automatic/ak47    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.34263   spawn_price=4160   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/weapon/gun/projectile/automatic/atreides    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=4.44597   spawn_price=1960   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/smg
/obj/item/weapon/gun/projectile/automatic/c20r    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=4.42317   spawn_price=2560   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/smg
/obj/item/weapon/gun/projectile/automatic/dallas    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.22148   spawn_price=7040   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/c10x24
/obj/item/weapon/gun/projectile/automatic/drozd    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.43997   spawn_price=2760   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/msmg
/obj/item/weapon/gun/projectile/automatic/maxim    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.22342   spawn_price=6980   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/maxim
/obj/item/weapon/gun/projectile/automatic/molly    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=5.15705   spawn_price=2460   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/smg
/obj/item/weapon/gun/projectile/automatic/sol    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=3.64016   spawn_price=2960   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/ihclrifle
/obj/item/weapon/gun/projectile/automatic/straylight    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=6.52126   spawn_price=2160   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/smg
/obj/item/weapon/gun/projectile/automatic/sts35    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=1.00404   spawn_price=3960   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/lrifle
/obj/item/weapon/gun/projectile/automatic/vintorez    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.3212   spawn_price=4560   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/srifle
/obj/item/weapon/gun/projectile/automatic/wintermute    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=1.93766   spawn_price=4060   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/srifle
/obj/item/weapon/gun/projectile/automatic/z8    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.36638   spawn_price=3760   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/srifle
/obj/item/weapon/gun/projectile/automatic/zoric    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=2.8242   spawn_price=2560   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/msmg
/obj/item/weapon/gun/projectile/shotgun/pump/china    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=2.97131   spawn_price=4520   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_casing/grenade/frag
/obj/item/weapon/gun/projectile/shotgun/pump/gladstone    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=4.29166   spawn_price=2000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/pump/regulator    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=4.31479   spawn_price=1500   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/pump    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=5.26316   spawn_price=1000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/bojevic    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=7.33928   spawn_price=4220   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/m12
/obj/item/weapon/gun/projectile/shotgun/bull    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=7.51821   spawn_price=2000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/doublebarrel/pellet    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=7.64574   spawn_price=1200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/doublebarrel/flare    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=7.64574   spawn_price=1200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/doublebarrel/sawn    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=3.69287   spawn_price=1200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/shotgun/doublebarrel    obj;item;gun;guns;gun_projectile;shotgun    blacklisted=0    spawn_value=7.64574   spawn_price=1200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/boltgun/serbian    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=1.95297   spawn_price=1600   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/boltgun    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.57339   spawn_price=1600   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/dartgun    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=8.19395   spawn_price=160   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/chemdart
/obj/item/weapon/gun/projectile/heavysniper    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.29982   spawn_price=5000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/rpg    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.19265   spawn_price=8000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun/projectile/avasarala    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=5.87906   spawn_price=1860   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/magnum
/obj/item/weapon/gun/projectile/clarissa/makarov    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=5.20288   spawn_price=1660   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/pistol
/obj/item/weapon/gun/projectile/clarissa    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=5.21802   spawn_price=1460   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/pistol
/obj/item/weapon/gun/projectile/colt    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=8.95708   spawn_price=1460   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/pistol
/obj/item/weapon/gun/projectile/giskard    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=9.14537   spawn_price=860   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/pistol
/obj/item/weapon/gun/projectile/gyropistol    obj;item;gun;guns;gun_projectile    blacklisted=1    spawn_value=0.966916   spawn_price=2640   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/a75
/obj/item/weapon/gun/projectile/lamia    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=5.14804   spawn_price=2660   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/magnum
/obj/item/weapon/gun/projectile/mandella    obj;item;gun;guns;gun_projectile    blacklisted=0    spawn_value=7.54973   spawn_price=1760   prob_accompanying_obj=100    accompanying_objs=/obj/item/ammo_magazine/cspistol
