/obj/item/weapon/cell/medium/high    blacklisted=0    spawn_value=14.6693   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/ammobox/clrifle/rubber    blacklisted=0    spawn_value=15.1468   spawn_price=40   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/ammobox/clrifle    blacklisted=0    spawn_value=15.1468   spawn_price=40   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/magnum/empty    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/magnum/rubber    blacklisted=0    spawn_value=20.9286   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/magnum    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/ihclrifle/empty    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/ihclrifle/practice    blacklisted=0    spawn_value=7.37664   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/ihclrifle/rubber    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/ihclrifle    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/slmagnum/empty    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/slmagnum/rubber    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/ammo_magazine/slmagnum    blacklisted=0    spawn_value=14.7533   spawn_price=60   prob_accompanying_obj=100    accompanying_objs=nothing
