/obj/item/weapon/computer_hardware/hard_drive/portable/basic    blacklisted=0    spawn_value=7.40741   spawn_price=10   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/portable/advanced/shady    blacklisted=0    spawn_value=6.8138   spawn_price=150   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/portable/advanced/nuke    blacklisted=0    spawn_value=6.8138   spawn_price=150   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/portable/advanced    blacklisted=0    spawn_value=6.8138   spawn_price=150   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/portable    blacklisted=0    spawn_value=7.19531   spawn_price=25   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/advanced    blacklisted=0    spawn_value=3.7037   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/super    blacklisted=0    spawn_value=1.91201   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/cluster    blacklisted=0    spawn_value=6.57939   spawn_price=500   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/small/adv    blacklisted=0    spawn_value=5.35906   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/small    blacklisted=0    spawn_value=9.97111   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive/micro    blacklisted=0    spawn_value=7.19531   spawn_price=25   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/hard_drive    blacklisted=0    spawn_value=7.04276   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/ai_slot    blacklisted=0    spawn_value=3.7037   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/card_slot    blacklisted=0    spawn_value=13.7951   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/gps_sensor    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/led/adv    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/led    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/network_card/advanced    blacklisted=0    spawn_value=5.35906   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/network_card/wired    blacklisted=0    spawn_value=9.97111   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/network_card    blacklisted=0    spawn_value=9.97111   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/printer    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/processor_unit/small    blacklisted=0    spawn_value=9.97111   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/processor_unit/adv/small    blacklisted=0    spawn_value=6.94296   spawn_price=80   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/processor_unit/adv    blacklisted=0    spawn_value=5.38703   spawn_price=80   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/processor_unit/super/small    blacklisted=0    spawn_value=1.91201   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/processor_unit/super    blacklisted=0    spawn_value=1.91201   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/processor_unit    blacklisted=0    spawn_value=9.97111   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/tesla_link    blacklisted=0    spawn_value=12.7372   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/scanner/atmos    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/scanner/medical    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/scanner/paper    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/scanner/price    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/scanner/reagent    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/computer_hardware/scanner    blacklisted=0    spawn_value=3.74546   spawn_price=50   prob_accompanying_obj=100    accompanying_objs=nothing
