/obj/item/robot_parts/robot_component/armour/exosuit/radproof    blacklisted=0    spawn_value=7.87465   spawn_price=500   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/robot_parts/robot_component/armour/exosuit/em    blacklisted=0    spawn_value=7.84907   spawn_price=550   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/robot_parts/robot_component/armour/exosuit/combat    blacklisted=0    spawn_value=7.69231   spawn_price=1000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/robot_parts/robot_component/armour/exosuit    blacklisted=0    spawn_value=8.01467   spawn_price=300   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/taser/ion    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/taser/laser    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/taser/plasma    blacklisted=1    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/taser    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/ballistic/pk    blacklisted=1    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/rcd    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/mounted_system/extinguisher    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/sleeper    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/clamp    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/light    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/catapult    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/mech_equipment/drill    blacklisted=0    spawn_value=8.1294   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/random/normal    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/random/boring    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/random/extra    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/random    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/combat/slayer    blacklisted=0    spawn_value=1.66667   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/combat    blacklisted=0    spawn_value=1.66667   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/heavy    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/light    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/powerloader/flames_red    blacklisted=0    spawn_value=6.66667   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/powerloader/flames_blue    blacklisted=0    spawn_value=6.66667   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/powerloader/firefighter    blacklisted=0    spawn_value=5   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/mob/living/exosuit/premade/powerloader    blacklisted=0    spawn_value=6.66667   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
