/obj/item/weapon/tool_upgrade/reinforcement/stick    blacklisted=0    spawn_value=5.85508   spawn_price=120   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/reinforcement/heatsink    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/reinforcement/plating    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/reinforcement/guard    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/reinforcement/plasmablock    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/reinforcement/rubbermesh    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/ergonomic_grip    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/ratchet    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/red_paint    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/whetstone    blacklisted=0    spawn_value=3.09588   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/diamond_blade    blacklisted=0    spawn_value=1.60059   spawn_price=300   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/oxyjet    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/motor    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/antistaining    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/booster    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/productivity/injector    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/refinement/laserguide    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/refinement/stabilized_grip    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/refinement/magbit    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/refinement/ported_barrel    blacklisted=0    spawn_value=3.09588   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/refinement/compensatedbarrel    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/refinement/vibcompensator    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/cell_mount    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/fuel_tank    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/holding_tank    blacklisted=1    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/expansion    blacklisted=0    spawn_value=1.60511   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/spikes    blacklisted=0    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/sanctifier    blacklisted=1    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
