/obj/item/weapon/tool/sword/nt/longsword    blacklisted=1    spawn_value=2.84909   spawn_price=1200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/sword/nt/halberd    blacklisted=1    spawn_value=2.87996   spawn_price=600   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/sword/nt/scourge    blacklisted=1    spawn_value=2.85714   spawn_price=1000   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/sword/nt    blacklisted=1    spawn_value=2.91151   spawn_price=300   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/sword/katana/nano    blacklisted=1    spawn_value=1.29343   spawn_price=71   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/sword/katana    blacklisted=0    spawn_value=2.20379   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/sword    blacklisted=0    spawn_value=3.04171   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/dagger/nt    blacklisted=0    spawn_value=5.85508   spawn_price=120   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/dagger/ceremonial    blacklisted=1    spawn_value=6.13458   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/dagger/bluespace    blacklisted=1    spawn_value=5.66438   spawn_price=451   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/dagger/assassin    blacklisted=1    spawn_value=6.13458   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/dagger    blacklisted=0    spawn_value=6.13458   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/boot    blacklisted=0    spawn_value=4.69461   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/hook    blacklisted=0    spawn_value=15.8704   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/ritual    blacklisted=0    spawn_value=4.69461   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/butch    blacklisted=0    spawn_value=15.8704   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/neotritual    blacklisted=1    spawn_value=8.84875   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/tacknife    blacklisted=0    spawn_value=8.84875   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/butterfly    blacklisted=0    spawn_value=3.80213   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife/switchblade    blacklisted=0    spawn_value=3.19478   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/knife    blacklisted=0    spawn_value=8.84875   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/hammer/mace    blacklisted=0    spawn_value=6.13458   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool/scythe    blacklisted=0    spawn_value=3.19478   spawn_price=20   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/ashtray    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/baseballbat/metal    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/baseballbat/uranium    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/baseballbat/gold    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/baseballbat/platinum    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/baseballbat/diamond    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/baseballbat    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/kitchen/rollingpin    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/butterfly/switchblade    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/butterfly    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/harpoon    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/spear    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/star/ninja    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/star    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/drill_head/plasteel    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/drill_head/diamond    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/material/drill_head    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/baton/cattleprod    blacklisted=0    spawn_value=7.87465   spawn_price=500   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/baton/excelbaton    blacklisted=0    spawn_value=7.87465   spawn_price=500   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/baton    blacklisted=0    spawn_value=7.87465   spawn_price=500   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/classic_baton    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/telebaton    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/axe    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/color    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/green    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/red    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/blue    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/purple    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/pirate    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword/sabre    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/sword    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/blade/organ_module    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/energy/blade    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/melee/toolbox_maul    blacklisted=0    spawn_value=10   spawn_price=0   prob_accompanying_obj=100    accompanying_objs=nothing
